domain,device,slot,size,bidder,account_id,domain_id,slot_id,ab_tests,media_type
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9698d2018180ffd7df0289a47e0037,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,Pubmatic,158139,,4514876,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,Rubicon Project,7499,426812,2440750,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier3,,TrustX,,,351316,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,AppNexus,,,25482516,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,Index Exchange,,,830116,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9691af018180ffdca00289a68a0045,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,Pubmatic,158139,,4514878,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,Rubicon Project,7499,426812,2440752,,
aboutespanol.com,"pc,tablet",leaderboardfooter-flex/tier4,,TrustX,,,351321,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,AppNexus,,,25482518,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,Index Exchange,,,830118,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9694b2018180ffe2450289aa28003f,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,Pubmatic,158139,,4514880,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,Roundel,382319,,,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,Rubicon Project,7499,426812,2440756,,
aboutespanol.com,"pc,tablet",square-fixed/tier1,,TrustX,,,351319,,
aboutespanol.com,"pc,tablet",square-fixed/tier2,,AppNexus,,,25482519,,
aboutespanol.com,"pc,tablet",square-fixed/tier2,,Index Exchange,,,830121,,
aboutespanol.com,"pc,tablet",square-fixed/tier2,,OneMobile,,8a9691af018180ffdca0026a7d9d0033,8a9691af018180ffdca00289ac030046,,
aboutespanol.com,"pc,tablet",square-fixed/tier2,,Pubmatic,158139,,4514881,,
